aX,aY,aZ,gX,gY,gZ
0.081,0.744,0.607,18.372,2.502,4.822
0.091,0.789,0.571,24.231,2.197,3.113
0.107,0.831,0.524,24.536,1.892,2.197
0.115,0.851,0.492,19.714,1.953,1.343
0.111,0.858,0.495,10.559,1.465,0.061
0.095,0.842,0.527,0.122,1.099,-1.038
0.083,0.822,0.575,-7.141,1.953,-1.404
0.072,0.795,0.632,-10.559,2.502,-2.136
0.059,0.756,0.654,-7.935,2.869,-3.113
0.049,0.725,0.643,-1.648,2.625,-3.723
0.053,0.706,0.621,5.859,1.892,-3.845
0.059,0.696,0.585,11.169,1.892,-2.991
0.067,0.697,0.559,12.695,2.319,-1.160
0.048,0.705,0.549,9.644,3.174,0.977
0.036,0.717,0.552,4.578,4.517,4.211
0.032,0.743,0.580,-1.160,6.287,7.996
0.026,0.769,0.605,-4.700,8.423,10.254
0.033,0.782,0.592,-3.601,8.240,8.972
0.073,0.764,0.566,1.831,5.310,4.211
0.085,0.737,0.533,8.118,3.296,-0.977
0.066,0.710,0.519,11.230,2.930,-4.761
0.041,0.688,0.537,11.108,0.916,-5.676
0.031,0.669,0.567,10.437,-1.282,-4.456
0.029,0.671,0.585,9.644,-1.465,-1.221
0.036,0.699,0.589,8.545,0.305,3.601
0.054,0.734,0.587,7.812,1.709,7.324
0.077,0.757,0.589,7.996,2.380,7.996
0.087,0.764,0.580,11.108,2.319,6.165
0.098,0.765,0.559,15.564,1.099,3.113
0.101,0.759,0.539,18.494,-0.366,0.244

1.143,1.100,0.990,-0.366,-35.278,38.025
1.362,1.437,1.058,8.484,-33.752,37.231
1.559,1.755,1.108,15.320,-34.912,31.128
1.738,1.997,1.255,6.287,-33.875,23.621
1.810,2.059,1.510,-25.391,-24.536,16.846
1.785,1.938,1.899,-73.242,-11.597,6.165
1.729,1.752,2.335,-113.892,-0.183,-10.071
1.572,1.555,2.598,-123.840,11.597,-28.870
1.361,1.389,2.637,-103.699,29.785,-48.828
1.039,1.247,2.488,-64.636,51.514,-66.528
0.687,1.127,2.265,-23.132,69.519,-72.937
0.423,1.035,1.925,15.747,81.604,-67.078
0.221,0.981,1.574,41.199,89.722,-53.772
0.016,0.964,1.285,48.096,91.370,-43.945
-0.163,0.938,1.088,49.011,83.801,-46.021
-0.409,0.864,1.004,42.786,70.984,-59.692
-0.712,0.739,0.961,32.043,58.838,-76.782
-0.967,0.583,0.899,23.499,47.546,-87.097
-1.112,0.469,0.781,21.423,40.039,-87.585
-1.202,0.357,0.672,19.897,36.926,-84.351
-1.281,0.229,0.589,13.000,33.875,-80.200
-1.370,0.127,0.590,0.183,31.311,-72.754
